 customer_id  date number_of_cds  dollar_value
 00001 19970101  1   11.77
 00002 19970112  1   12.00
 00002 19970112  5   77.00
 00003 19970102  2   20.76
 00003 19970330  2   20.76
 00003 19970402  2   19.54
 00003 19971115  5   57.45
 00003 19971125  4   20.96
 00003 19980528  1   16.99
 00004 19970101  2   29.33
 00004 19970118  2   29.73
 00004 19970802  1   14.96
 00004 19971212  2   26.48
 00005 19970101  2   29.33
 00005 19970114  1   13.97
 00005 19970204  3   38.90
 00005 19970411  3   45.55
 00005 19970531  3   38.71
 00005 19970616  2   26.14
 00005 19970722  2   28.14
 00005 19970915  3   40.47
 00005 19971208  4   46.46
 00005 19971212  3   40.47
 00005 19980103  3   37.47
 00006 19970101  1   20.99
 00007 19970101  2   28.74
 00007 19971011  7   97.43
 00007 19980322  9  138.50
 00008 19970101  1    9.77
 00008 19970213  1   13.97
 00008 19970617  3   45.29
 00008 19970703  2   36.76
 00008 19971116  1    2.99
 00008 19971116  7   50.43
 00008 19971225  1   13.99
 00008 19980329  2   24.46
 00009 19970101  2   23.54
 00009 19970513  2   30.33
 00009 19980608  2   41.98
 00010 19970121  3   39.31
 00011 19970101  1   13.49
 00011 19970128  1   19.30
 00011 19970317  1   12.77
 00011 19980220  1   12.99
 00012 19970101  4   57.06
 00013 19970101  4   72.94
 00014 19970101  2   29.92
 00015 19970101  4   52.87
 00016 19970101  1    9.77
 00016 19970713  2   31.60
 00016 19970726  4   28.51
 00016 19970910  1    9.99
 00017 19970101  5   73.22
 00018 19970104  1   14.96
 00019 19970101 10  163.35
 00019 19970610  1   11.77
 00020 19970101 27  363.60
 00020 19970118 19  289.41
 00021 19970101  3   63.34
 00021 19970113  1   11.77
 00022 19970101  1   14.37
 00023 19970101  2   24.74
 00024 19970101  3   47.28
 00024 19980120  1   10.49
 00025 19970101  2   24.96
 00025 19970718  1   13.90
 00025 19970817  1   12.25
 00025 19971024  1   12.99
 00025 19980417  1   12.99
 00025 19980525  1   10.49
 00025 19980603  3   24.97
 00025 19980608  2   24.98
 00026 19970101  3   42.72
 00026 19970126  3   59.97
 00027 19970107  6   83.41
 00027 19970112  4   52.46
 00028 19970101  3   39.51
 00028 19970127  2   25.74
 00028 19970308  2   25.74
 00029 19970101  3   46.72
 00029 19970206  3   67.31
 00029 19970309  3   41.10
 00029 19970405  3   44.52
 00029 19970420  1   13.97
 00029 19970504  2   26.14
 00029 19970530  1   32.45
 00029 19970713  2   37.65
 00029 19970713  2   26.74
 00029 19970906  1   14.79
