ID,x,t_x,T,zbar
1,2,30.43,38.86,22.35
2,1,1.71,38.86,11.77
3,0,0.00,38.86,0.00
4,0,0.00,38.86,0.00
5,0,0.00,38.86,0.00
6,7,29.43,38.86,73.74
7,1,5.00,38.86,11.77
8,0,0.00,38.86,0.00
9,2,35.71,38.86,25.55
10,0,0.00,38.86,0.00
11,5,24.43,38.86,29.44
12,0,0.00,38.86,0.00
13,0,0.00,38.86,0.00
14,0,0.00,38.86,0.00
15,0,0.00,38.86,0.00
16,0,0.00,38.86,0.00
17,10,34.14,38.86,24.24
18,1,4.86,38.86,9.99
19,3,28.29,38.71,25.08
20,0,0.00,38.71,0.00
21,2,14.57,38.71,32.30
22,0,0.00,38.71,0.00
23,0,0.00,38.71,0.00
24,0,0.00,38.71,0.00
25,0,0.00,38.71,0.00
26,1,1.57,38.71,227.14
27,0,0.00,38.71,0.00
28,1,29.43,38.71,80.46
29,0,0.00,38.71,0.00
30,1,5.86,38.71,40.47
31,0,0.00,38.71,0.00
32,0,0.00,38.71,0.00
33,0,0.00,38.71,0.00
34,0,0.00,38.71,0.00
35,1,27.14,38.71,31.14
36,0,0.00,38.71,0.00
37,0,0.00,38.71,0.00
38,1,2.14,38.71,13.97
39,0,0.00,38.71,0.00
40,0,0.00,38.71,0.00
41,0,0.00,38.57,0.00
42,0,0.00,38.57,0.00
43,0,0.00,38.57,0.00
44,0,0.00,38.57,0.00
45,1,24.43,38.57,14.96
46,12,34.43,38.57,29.54
47,0,0.00,38.57,0.00
48,0,0.00,38.57,0.00
49,1,1.57,38.57,14.37
50,0,0.00,38.57,0.00
51,0,0.00,38.57,0.00
52,0,0.00,38.57,0.00
53,0,0.00,38.57,0.00
54,0,0.00,38.57,0.00
55,0,0.00,38.57,0.00
56,2,33.14,38.57,28.03
57,1,4.29,38.57,15.36
58,0,0.00,38.43,0.00
59,1,38.43,38.43,6.49
60,0,0.00,38.43,0.00
61,4,29.43,38.43,53.40
62,0,0.00,38.43,0.00
63,1,16.14,38.43,43.13
64,0,0.00,38.43,0.00
65,0,0.00,38.43,0.00
66,0,0.00,38.43,0.00
67,2,21.14,38.43,133.48
68,0,0.00,38.43,0.00
69,0,0.00,38.43,0.00
70,3,29.29,38.43,42.63
71,0,0.00,38.43,0.00
72,0,0.00,38.43,0.00
73,1,5.86,38.43,69.23
74,0,0.00,38.43,0.00
75,1,5.14,38.43,20.77
76,0,0.00,38.43,0.00
77,0,0.00,38.43,0.00
78,0,0.00,38.29,0.00
79,3,16.86,38.29,20.22
80,0,0.00,38.29,0.00
81,0,0.00,38.29,0.00
82,1,7.43,38.29,42.09
83,0,0.00,38.29,0.00
84,0,0.00,38.29,0.00
85,0,0.00,38.29,0.00
86,7,26.43,38.29,27.63
87,0,0.00,38.29,0.00
88,10,35.43,38.29,13.66
89,0,0.00,38.29,0.00
90,0,0.00,38.29,0.00
91,1,33.29,38.29,14.99
92,6,37.43,38.29,50.87
93,0,0.00,38.29,0.00
94,0,0.00,38.29,0.00
95,0,0.00,38.29,0.00
96,0,0.00,38.29,0.00
97,0,0.00,38.29,0.00
98,2,31.86,38.29,33.42
99,4,37.57,38.29,20.68
100,1,23.86,38.29,26.22
101,5,36.14,38.14,17.47
102,0,0.00,38.14,0.00
103,0,0.00,38.14,0.00
104,0,0.00,38.14,0.00
105,1,24.14,38.14,92.80
106,1,6.14,38.14,52.30
107,0,0.00,38.14,0.00
108,0,0.00,38.14,0.00
109,1,0.29,38.14,39.09
110,0,0.00,38.14,0.00
111,1,0.29,38.14,12.97
112,0,0.00,38.14,0.00
113,0,0.00,38.14,0.00
114,1,24.14,38.14,24.99
115,0,0.00,38.14,0.00
116,1,5.29,38.14,28.31
117,0,0.00,38.14,0.00
118,0,0.00,38.14,0.00
119,0,0.00,38.14,0.00
120,0,0.00,38.14,0.00
121,1,3.00,38.14,13.77
